,Date,Text,Positive,Negative,Neutral,Compound
87,Sat Dec 02 21:42:21 +0000 2017,"On Twitter, @KamalaHarris slammed the tax reform bill that passed the Senate. https://t.co/yPerz691gx https://t.co/JaK8FOOn8m",0.0,0.0,1.0,0.0
88,Sat Dec 02 21:38:51 +0000 2017,Moments ago: @POTUS arrives in Joint AFB Andrews. https://t.co/smQVv4e1Hu,0.0,0.0,1.0,0.0
89,Sat Dec 02 21:30:58 +0000 2017,"H.R. McMaster: ""It would be great if every time we talk about what divides us, we also at least give equal time to… https://t.co/xHziSN27R1",0.151,0.0,0.849,0.6249
90,Sat Dec 02 21:26:46 +0000 2017,"H.R. McMaster: ""If we go to fight, it's not going to be a fair fight for any enemy who takes us on."" @BretBaier https://t.co/8cVWpUCVe9",0.077,0.29,0.633,-0.7506
91,Sat Dec 02 21:24:19 +0000 2017,".@BretBaier: ""Why do you think there is no bipartisan urgency to significantly increase defense spending?""

H.R. Mc… https://t.co/aYiuDaOohh",0.181,0.105,0.714,0.1531
92,Sat Dec 02 21:23:13 +0000 2017,RT @EricShawnTV: I anchor @FoxNews starting at 5 pm ET: The case of #MichaelFlynn and #Israel. Fmr. Ambassador Dan Gillerman on the #UN vot…,0.0,0.0,1.0,0.0
93,Sat Dec 02 21:22:17 +0000 2017,"H.R. McMaster: ""What the Iranians have done across the greater Middle East is fuel and accelerate these cycles of v… https://t.co/tVEsaqN84s",0.111,0.0,0.889,0.3612
94,Sat Dec 02 21:18:10 +0000 2017,".@BretBaier: ""Should Americans feel safe about going to the Winter Olympics in Seoul in February?""

H.R. McMaster:… https://t.co/KUe6OVrMC1",0.146,0.0,0.854,0.4404
95,Sat Dec 02 21:17:03 +0000 2017,"H.R. McMaster: ""South Korea and Japan are improving their defense capabilities at breakneck speed."" @BretBaier https://t.co/n2LtssrqVO",0.235,0.0,0.765,0.5106
96,Sat Dec 02 21:16:21 +0000 2017,"H.R. McMaster: ""Kim Jong Un isn't particularly cordial to anyone."" @BretBaier https://t.co/pMlBZcYwag",0.0,0.0,1.0,0.0
97,Sat Dec 02 21:14:59 +0000 2017,"H.R. McMaster: ""China recognizes that it does have tremendous coercive economic power over North Korea."" @BretBaier https://t.co/kWIHx69zXe",0.0,0.0,1.0,0.0
98,Sat Dec 02 21:13:08 +0000 2017,".@BretBaier: ""Has the potential of war with North Korea increased with this latest launch?""

H.R. McMaster: ""I thin… https://t.co/1vWClX5Zkh",0.091,0.17,0.739,-0.4215
99,Sat Dec 02 21:12:22 +0000 2017,"H.R. McMaster: ""Every time [Kim Jong Un] conducts a missile launch, a nuclear test, he gets better."" @BretBaier https://t.co/GkhNx0fP3V",0.0,0.0,1.0,0.0
