,Date,Text,Positive,Negative,Neutral,Compound
58,Sat Dec 02 21:15:01 +0000 2017,South Carolina State basketball player Tyvoris Solomon collapsed during game and was taken to the hospital:… https://t.co/WlV8m4iMa8,0.0,0.116,0.884,-0.2732
59,Sat Dec 02 20:55:21 +0000 2017,"""We are focused on delivering a newscast powered by reporting and writing that will get to the heart of the issues… https://t.co/nSvY7XD3Yh",0.115,0.0,0.885,0.3818
60,Sat Dec 02 20:35:01 +0000 2017,A British police officer has been praised for grabbing hold of a van as it dangled on an icy bridge over a highway… https://t.co/th3z6BUIbj,0.138,0.0,0.862,0.4939
61,Sat Dec 02 20:15:01 +0000 2017,More than 200 pounds of unclaimed contraband bologna was seized at U.S.-Mexico border this week:… https://t.co/uFHL9ZxYr4,0.0,0.0,1.0,0.0
62,Sat Dec 02 19:55:01 +0000 2017,The White House is finalizing plans for President Trump to announce that the U.S. will recognize Jerusalem as the c… https://t.co/eRtoIxExIv,0.0,0.0,1.0,0.0
63,Sat Dec 02 19:35:01 +0000 2017,"For more than 20 years, the band Spoon has been a staple of the indie rock circuit, blending rock, pop and punk:… https://t.co/C6pRhJVjWB",0.0,0.0,1.0,0.0
64,Sat Dec 02 18:55:02 +0000 2017,An FBI agent suspected of sending anti-Trump texts has been removed from special counsel Robert Mueller's team… https://t.co/dSPLShCTBY,0.131,0.092,0.777,0.2023
65,Sat Dec 02 18:35:00 +0000 2017,"Andy Weir, the author of ""The Martian,"" is happy to remain an ""earthbound misfit""
https://t.co/Ka9b8nU6wq https://t.co/Mb4VFsySTC",0.198,0.0,0.802,0.5719
66,Sat Dec 02 18:15:01 +0000 2017,"President Trump says he fired Michael Flynn because he lied to VP Pence and  FBI, insists there's ""nothing to hide""… https://t.co/ZPMroHl24z",0.0,0.246,0.754,-0.7351
67,Sat Dec 02 17:55:01 +0000 2017,Missing Florida teenager who police said was with 27-year-old high school soccer coach has been found safe in New Y… https://t.co/88bxQJBDCM,0.12,0.091,0.788,0.1779
68,Sat Dec 02 17:35:01 +0000 2017,"Tax reform bill: What's in the final version passed by the Senate early Saturday?
https://t.co/sbbMrAuxAE https://t.co/FQEPeIog5l",0.0,0.0,1.0,0.0
