,Date,Text,Positive,Negative,Neutral,Compound
77,Sat Dec 02 16:48:14 +0000 2017,Breaking News: An FBI agent was removed after questions about whether he expressed anti-Trump political views https://t.co/2pV8jcLaXY,0.0,0.0,1.0,0.0
78,Sat Dec 02 16:41:04 +0000 2017,"""I want you to take a look at this, folks. This is your government at work,"" said Senator Jon Tester, Democrat of M… https://t.co/vpCb0tR9VV",0.056,0.0,0.944,0.0772
79,Sat Dec 02 16:26:06 +0000 2017,Opinion: She wanted to get sterilized. Her doctor refused. https://t.co/fEorL3z3S9,0.0,0.196,0.804,-0.296
80,Sat Dec 02 16:11:06 +0000 2017,Members of Mexico’s landmark anti-corruption drive say the government has thwarted them from making serious headway https://t.co/wtf7r9BJOr,0.073,0.136,0.791,-0.0258
81,Sat Dec 02 15:56:02 +0000 2017,Novelist Emma Cline had a banner 2016. But a lawsuit by a former boyfriend has overshadowed that success. https://t.co/7lWZNtz43U,0.189,0.097,0.714,0.4215
82,Sat Dec 02 15:48:27 +0000 2017,How Ireland Moved to the Left: ‘The Demise of the Church’ https://t.co/7aweHoRh5T,0.0,0.0,1.0,0.0
83,Sat Dec 02 15:41:02 +0000 2017,"With the passage of a Senate tax plan, Republicans are close to a big victory. But will it help them politically? https://t.co/KInO87k6Xq",0.124,0.0,0.876,0.4019
84,Sat Dec 02 15:26:01 +0000 2017,"The U.S. Senate passed the most sweeping tax rewrite in decades. The new Republican tax plan affects families, smal… https://t.co/6Jrs41sVbz",0.0,0.0,1.0,0.0
85,Sat Dec 02 15:12:04 +0000 2017,"Who gains from the U.S. Republican tax plan? Two economists, one from each side of the debate, make their cases. https://t.co/SX0F84ETVN",0.107,0.0,0.893,0.34
86,Sat Dec 02 15:02:01 +0000 2017,"Some colleges have more students from the top 1% than the bottom 60. Find yours. https://t.co/coxMm43wI6 

This was… https://t.co/yeeDxmUf9B",0.091,0.0,0.909,0.2023
87,Sat Dec 02 14:41:01 +0000 2017,Updated timeline: What we now know about Michael Flynn’s phone calls with Russia https://t.co/u5HLzR0SAh,0.0,0.0,1.0,0.0
88,Sat Dec 02 14:21:01 +0000 2017,"""Everyone else in the family has my husband’s last name and brown eyes. Even a toddler could tell I was an outsider… https://t.co/EIvAVlMheY",0.0,0.0,1.0,0.0
89,Sat Dec 02 14:01:08 +0000 2017,"Jay-Z in an interview with executive editor Dean Baquet: ""The strongest thing a man can do is cry.""… https://t.co/EsAyn24IEf",0.146,0.0,0.854,0.4404
90,Sat Dec 02 13:41:05 +0000 2017,"RT @nytopinion: The Senate tax bill is expected to add more than $1.4 trillion to the federal deficit, a debt that will be paid by the poor…",0.0,0.178,0.822,-0.6369
91,Sat Dec 02 13:21:02 +0000 2017,Opinion: 10 key takeaways from Michael Flynn’s guilty plea https://t.co/8pQvqNJx3L,0.0,0.237,0.763,-0.4215
92,Sat Dec 02 13:02:06 +0000 2017,Here's how each senator voted on the Republican tax bill https://t.co/zDHX5KEsOI,0.0,0.0,1.0,0.0
93,Sat Dec 02 12:41:02 +0000 2017,The 10 best books of 2017 https://t.co/949YQcMnnm,0.412,0.0,0.588,0.6369
94,Sat Dec 02 12:21:04 +0000 2017,These documents raise new questions about what then President-elect Trump knew about Michael Flynn’s conversations https://t.co/R3E14fyzuK,0.0,0.0,1.0,0.0
95,Sat Dec 02 12:02:07 +0000 2017,"RT @nytpolitics: The Senate passed the most sweeping tax overhaul in decades, a big win for President Trump. It now must be reconciled with…",0.147,0.0,0.853,0.5859
96,Sat Dec 02 11:39:48 +0000 2017,Scallops see their world with hundreds of eyes — and each one is amazing https://t.co/B9g4g1vimR,0.226,0.0,0.774,0.5859
97,Sat Dec 02 11:20:31 +0000 2017,A reporter returns to Ohio to discuss the challenges of teaching climate change https://t.co/RmvKHmr2JT,0.098,0.0,0.902,0.0772
98,Sat Dec 02 11:00:42 +0000 2017,"Experience the new Seven Wonders of the World, in 360° video https://t.co/FwHMgXhOER",0.0,0.0,1.0,0.0
99,Sat Dec 02 10:42:53 +0000 2017,The Getaway: Sending Out an SOS: The Rise of Travel Security Apps https://t.co/YRLNLWH6S0,0.167,0.0,0.833,0.34
