,Date,Text,Positive,Negative,Neutral,Compound
46,Fri Dec 01 15:40:33 +0000 2017,"Michael Zeldin, a former federal prosecutor, gives his take on Michael Flynn's charges : ""He's picked lies that imp… https://t.co/rp9xVDYRJ0",0.0,0.234,0.766,-0.5994
47,Fri Dec 01 15:26:06 +0000 2017,JUST IN: Michael Flynn arrives at the US District Courthouse in Washington. His hearing is scheduled for 10:30 a.m.… https://t.co/dyiJnaUodP,0.0,0.0,1.0,0.0
48,Fri Dec 01 14:47:51 +0000 2017,"RT @CNN: JUST IN: Michael Flynn is expected to plead guilty to the charge of ""willfully and knowingly"" making ""false, fictitious and fraudu…",0.0,0.113,0.887,-0.4215
49,Fri Dec 01 14:43:11 +0000 2017,JUST IN: Michael Flynn will appear at a federal court in Washington D.C. in the next hour. @JeffreyToobin has the l… https://t.co/4uczpKl8Fd,0.0,0.0,1.0,0.0
50,Fri Dec 01 14:22:20 +0000 2017,".@ChristineRomans explains the evolving GOP Tax Bill: ""This is now a big corporate tax bill that will add to the de… https://t.co/HcF3GhUBll",0.0,0.0,1.0,0.0
51,Fri Dec 01 14:19:48 +0000 2017,RT @CNN: BREAKING: Michael Flynn charged with making false statement to FBI https://t.co/nwAMpHZanh https://t.co/qo1Zv2TrrU,0.0,0.122,0.878,-0.2023
52,Fri Dec 01 13:55:18 +0000 2017,"RT @CNN: ""The presence of God today is also called Rohingya"": Pope Francis referred to the Rohingya people, Myanmar's persecuted Muslim min…",0.086,0.094,0.82,-0.0516
53,Thu Nov 30 20:48:08 +0000 2017,Acting HHS Secretary Eric Hargan details the ways in which the department will use President Donald Trump's salary… https://t.co/IBBxSWqoWL,0.0,0.0,1.0,0.0
54,Thu Nov 30 20:01:07 +0000 2017,RT @BrookeBCNN: British @LizMcInnes_MP would like @realDonaldTrump to delete his anti-Muslim retweets and apologize. Do you think he will?…,0.187,0.0,0.813,0.4404
55,Thu Nov 30 18:23:32 +0000 2017,CNN's @Acosta is live at the White House amid reports that Secretary of State Rex Tillerson might be replaced by CI… https://t.co/SQryPhpbsf,0.0,0.0,1.0,0.0
56,Thu Nov 30 17:40:23 +0000 2017,"Republican Representative Joe Barton will not seek reelection in 2018, @JohnKingCNN reports https://t.co/FmHoQPpbVR",0.0,0.0,1.0,0.0
57,Thu Nov 30 16:42:00 +0000 2017,RT @CNNPolitics: Speaker Paul Ryan on Rep. John Conyers: “I think he should resign immediately” https://t.co/v1PTYOzTAk https://t.co/x4G41i…,0.0,0.13,0.87,-0.34
58,Thu Nov 30 16:34:47 +0000 2017,"Sen. Lindsey Graham: ""The antidote to terrorism is not racism and religious bigotry... I think it was very inapprop… https://t.co/U37cwCQ3s8",0.132,0.185,0.683,-0.3195
59,Thu Nov 30 16:28:02 +0000 2017,RT @CNNPolitics: Sen. Lindsey Graham: “I have no reason to want to replace Secretary of State Rex Tillerson … but that’s up to the Presiden…,0.046,0.065,0.889,-0.1154
60,Thu Nov 30 16:26:12 +0000 2017,“I think you will be seeing pretty soon some escalation of military capability” in reaction to North Korea says Sen… https://t.co/fycKrWcFLn,0.138,0.0,0.862,0.4939
61,Thu Nov 30 16:16:41 +0000 2017,RT @CNNPolitics: JUST IN: Sen. John McCain says he'll vote for the Senate GOP tax plan https://t.co/i9erSQFYvM https://t.co/qthrNEYBGY,0.0,0.0,1.0,0.0
62,Thu Nov 30 15:48:51 +0000 2017,JUST IN: Government officials tell CNN the White House is considering replacing Rex Tillerson with Mike Pompeo with… https://t.co/XbhHZE0vPN,0.0,0.0,1.0,0.0
63,Thu Nov 30 14:55:27 +0000 2017,"RT @CNNPolitics: JUST IN: Rep. John Conyers, a Democratic congressman facing accusations of sexual harassment, is in the hospital, an aide…",0.0,0.244,0.756,-0.7003
64,Thu Nov 30 14:45:39 +0000 2017,GOP Rep. Chris Stewart is proposing legislation to prohibit non-disclosure agreements in sexual harassment settleme… https://t.co/baJWlhOt66,0.107,0.179,0.714,-0.34
65,Thu Nov 30 14:37:42 +0000 2017,"RT @CNNMoney: Dow hits 24,000 for the first time. S&amp;P 500 also sets all-time high. Sears spikes 20% despite plunging sales. https://t.co/A9…",0.0,0.0,1.0,0.0
66,Thu Nov 30 14:36:36 +0000 2017,Eli Manning's benching sends shockwaves throughout the NFL https://t.co/aNsfv5fNjT https://t.co/C3HLzzM0sK,0.0,0.0,1.0,0.0
67,Thu Nov 30 14:33:58 +0000 2017,"Rep. Chris Stewart reacts to latest Al Franken accusations of inappropriate touching: ""Being in a position of power… https://t.co/q5zSH3Heym",0.0,0.119,0.881,-0.3182
68,Thu Nov 30 14:26:45 +0000 2017,CNN's @SuzanneMalveaux explains some of the obstacles facing GOP Senators as they try to pass tax reform… https://t.co/SJJSmsKC9z,0.0,0.133,0.867,-0.3818
